"question_code","question_title"
"KLD","Geschäftsklima"
"GUS","Geschäftslage Beurteilung"
"GES","Geschäftslage Erwartungen"
"LUS","Fertigwarenlager Beurteilung"
"BUS","Auftragsbestand Beurteilung"
"XUS","Auftragsbestand Beurteilung Export"
"AVS","Nachfrage gegen Vormonat"
"BVS","Auftragsbestand gegen Vormonat"
"QVS","Produktion gegen Vormonat"
"PVS","Preise gegen Vormonat"
"QES","Produktionspläne"
"PWS","Preiserwartungen"
"XES","Exporterwartungen"
"BES","Beschäftigtenerwartungen"
"PRS","Produktivitätserwartungen"
